Level,Date and Time,Source,Event ID,Task Category
Error,09/08/2018 11:02:35,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,09/08/2018 11:02:26,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,09/08/2018 11:02:17,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,09/08/2018 11:02:16,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.OneConnect_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,09/08/2018 11:02:16,Service Control Manager,7040,None,The start type of the Touch Keyboard and Handwriting Panel Service service was changed from demand start to auto start.
Information,09/08/2018 11:02:16,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 14 keys and creating 2 modified pages.
Information,09/08/2018 11:02:15,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 61 keys and creating 13 modified pages.
Information,09/08/2018 11:02:14,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat was cleared updating 11 keys and creating 3 modified pages.
Information,09/08/2018 11:02:13,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 435 keys and creating 80 modified pages.
Information,09/08/2018 11:02:08,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat was cleared updating 36 keys and creating 9 modified pages.
Information,09/08/2018 11:02:08,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 4 keys and creating 1 modified pages.
Error,09/08/2018 11:02:04,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,09/08/2018 11:02:04,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,09/08/2018 11:02:04,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2018‎-‎08‎-‎08T15:42:00.953994200Z
Wake Time: ‎2018‎-‎08‎-‎09T09:02:02.038173700Z

Wake Source: Unknown"
Error,09/08/2018 11:02:03,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,09/08/2018 11:02:03,BTHUSB,34,None,The local adapter does not support an important Low Energy controller state to support peripheral mode. The minimum required supported state mask is 0x491f7fffff; got 0x1fffffff. Low Energy peripheral role functionality will not be available.
Information,09/08/2018 11:02:03,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,09/08/2018 11:02:03,Microsoft-Windows-Kernel-General,15,None,Hive \??\C:\Users\Philipp Wise\AppData\Local\Microsoft\Windows\UsrClass.dat was reorganized with a starting size of 6459392 bytes and an ending size of 6365184 bytes.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-General,15,None,Hive \??\C:\Users\Philipp Wise\ntuser.dat was reorganized with a starting size of 5943296 bytes and an ending size of 5251072 bytes.
Information,09/08/2018 11:02:02,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Error,09/08/2018 11:02:02,BTHUSB,17,None,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD was cleared updating 83 keys and creating 6 modified pages.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,09/08/2018 11:02:02,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,09/08/2018 11:02:00,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎08‎-‎09T09:02:00.500000000Z from ‎2018‎-‎08‎-‎08T15:42:09.482989100Z.

Change Reason: System time synchronized with the hardware clock."
Information,08/08/2018 17:42:09,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,08/08/2018 17:42:08,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,08/08/2018 17:41:59,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 17:41:59,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 17:41:55,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,08/08/2018 17:41:55,Microsoft-Windows-Winlogon,7002,(1102),User Log-off Notification for Customer Experience Improvement Program
Error,08/08/2018 17:40:06,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 17:39:45,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 17:39:45,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 17:39:45,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,08/08/2018 17:39:45,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Information,08/08/2018 17:39:44,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2018‎-‎08‎-‎08T15:39:25.283745100Z
Wake Time: ‎2018‎-‎08‎-‎08T15:39:42.787652100Z

Wake Source: Unknown"
Warning,08/08/2018 17:39:43,BTHUSB,34,None,The local adapter does not support an important Low Energy controller state to support peripheral mode. The minimum required supported state mask is 0x491f7fffff; got 0x1fffffff. Low Energy peripheral role functionality will not be available.
Information,08/08/2018 17:39:43,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,08/08/2018 17:39:42,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,08/08/2018 17:39:42,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,08/08/2018 17:39:42,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,08/08/2018 17:39:42,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,08/08/2018 17:39:42,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,08/08/2018 17:39:40,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎08‎-‎08T15:39:40.500000000Z from ‎2018‎-‎08‎-‎08T15:39:28.233436800Z.

Change Reason: System time synchronized with the hardware clock."
Information,08/08/2018 17:39:28,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,08/08/2018 17:39:26,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,08/08/2018 17:39:25,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 17:39:25,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 17:39:19,Microsoft-Windows-Winlogon,7002,(1102),User Log-off Notification for Customer Experience Improvement Program
Error,08/08/2018 17:39:19,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Error,08/08/2018 17:39:19,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Error,08/08/2018 17:39:19,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Error,08/08/2018 17:39:18,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Error,08/08/2018 17:39:18,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Error,08/08/2018 17:39:18,Microsoft-Windows-DistributedCOM,10010,None,The server {995C996E-D918-4A8C-A302-45719A6F4EA7} did not register with DCOM within the required timeout.
Information,08/08/2018 17:39:18,Service Control Manager,7040,None,The start type of the Touch Keyboard and Handwriting Panel Service service was changed from auto start to demand start.
Information,08/08/2018 17:39:17,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-JRHB8O7) has initiated the power off of computer DESKTOP-JRHB8O7 on behalf of user DESKTOP-JRHB8O7\Philipp Wise for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shut-down Type: power off
 Comment: "
Information,08/08/2018 17:39:16,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,08/08/2018 17:36:48,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,08/08/2018 17:34:38,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,08/08/2018 13:49:05,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\DRIVERS (TM: {3795241A-9AF5-11E8-BD0F-BC8385D1DE3C}, RM: {37952419-9AF5-11E8-BD0F-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,08/08/2018 13:49:05,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\SYSTEM (TM: {37952417-9AF5-11E8-BD0F-BC8385D1DE3C}, RM: {37952416-9AF5-11E8-BD0F-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,08/08/2018 13:48:57,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy5\WINDOWS\System32\config\DRIVERS (TM: {379523F2-9AF5-11E8-BD0F-BC8385D1DE3C}, RM: {379523F1-9AF5-11E8-BD0F-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,08/08/2018 13:48:57,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy5\WINDOWS\System32\config\SYSTEM (TM: {379523EF-9AF5-11E8-BD0F-BC8385D1DE3C}, RM: {379523EE-9AF5-11E8-BD0F-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,08/08/2018 13:46:27,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKslba4c4fb0
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{F97B028B-787A-4EBF-AB0D-D0D99561C054}\MpKslba4c4fb0.sys
Service Type:  kernel mode driver
Service Start Type:  system start
Service Account:  "
Information,08/08/2018 13:46:04,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎08‎-‎08T11:46:04.574958600Z from ‎2018‎-‎08‎-‎08T11:46:04.574965900Z.

Change Reason: An application or system component changed the time."
Information,08/08/2018 13:46:04,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.140.65.84:123) with reference id 1413581875. Current local stratum number is 3."
Information,08/08/2018 13:45:52,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,08/08/2018 13:45:50,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.140.65.84:123)."
Information,08/08/2018 13:45:48,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Error,08/08/2018 13:35:22,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,08/08/2018 12:36:52,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,08/08/2018 12:34:38,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,08/08/2018 12:33:43,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,08/08/2018 12:31:37,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Error,08/08/2018 12:28:38,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 12:26:43,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 12:26:43,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,08/08/2018 12:25:37,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Information,08/08/2018 12:25:14,Microsoft-Windows-Ntfs,98,None,Volume Local Disk (\Device\HarddiskVolumeShadowCopy5) is healthy.  No action is needed.
Information,08/08/2018 12:25:13,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Error,08/08/2018 12:25:09,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,08/08/2018 12:25:05,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,08/08/2018 12:24:53,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,08/08/2018 12:24:45,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
